% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.144	1	4	15	5	78	20	161	0
0.144	1	5	15	5	20	20	161	1
0.144	1	7	15	5	29	20	161	1
0.145	1	12	15	6	82	20	161	0
0.145	1	1	15	6	87	20	161	0
0.145	1	9	15	6	39	20	161	1
0.145	1	2	15	6	50	20	161	1
0.146	1	6	15	7	91	20	161	0
0.146	1	13	15	7	94	20	161	0
0.146	1	11	15	7	58	20	161	1
0.146	1	10	15	7	63	20	161	1
0.147	1	3	15	8	96	20	161	0
0.147	1	14	15	8	1	20	161	0
0.147	1	8	15	8	71	20	161	1
0.147	1	4	15	8	78	20	161	1
0.148	1	15	15	9	12	20	161	0
0.148	1	5	15	9	20	20	161	0
0.148	1	12	15	9	82	20	161	1
0.148	1	1	15	9	87	20	161	1
0.149	1	7	15	10	29	20	161	0
0.149	1	9	15	10	39	20	161	0
0.149	1	6	15	10	91	20	161	1
0.149	1	13	15	10	94	20	161	1
0.15	1	2	16	1	50	20	161	0
0.15	1	11	16	1	58	20	161	0
0.15	1	3	16	1	96	20	161	1
0.15	1	14	16	1	1	20	161	1
0.151	1	10	16	2	63	20	161	0
0.151	1	8	16	2	71	20	161	0
0.151	1	15	16	2	12	20	161	1
0.151	1	5	16	2	20	20	161	1
0.152	1	4	16	3	78	20	161	0
0.152	1	12	16	3	82	20	161	0
0.152	1	7	16	3	29	20	161	1
0.152	1	9	16	3	39	20	161	1
0.153	1	1	16	4	87	20	161	0
0.153	1	6	16	4	91	20	161	0
0.153	1	2	16	4	50	20	161	1
0.153	1	11	16	4	58	20	161	1
0.154	1	13	16	5	94	20	161	0
0.154	1	3	16	5	96	20	161	0
0.154	1	10	16	5	63	20	161	1
0.154	1	8	16	5	71	20	161	1
0.155	1	14	16	6	1	20	161	0
0.155	1	15	16	6	12	20	161	0
0.155	1	4	16	6	78	20	161	1
0.155	1	12	16	6	82	20	161	1
0.156	1	5	16	7	20	20	161	0
0.156	1	7	16	7	29	20	161	0
0.156	1	1	16	7	87	20	161	1
0.156	1	6	16	7	91	20	161	1
0.157	1	9	16	8	39	20	161	0
0.157	1	2	16	8	50	20	161	0
0.157	1	13	16	8	94	20	161	1
0.157	1	3	16	8	96	20	161	1
0.158	1	11	16	9	58	20	161	0
0.158	1	10	16	9	63	20	161	0
0.158	1	14	16	9	1	20	161	1
0.158	1	15	16	9	12	20	161	1
0.159	1	8	16	10	71	20	161	0
0.159	1	4	16	10	78	20	161	0
0.159	1	5	16	10	20	20	161	1
0.159	1	7	16	10	29	20	161	1
0.16	1	12	17	1	82	20	161	0
0.16	1	1	17	1	87	20	161	0
0.16	1	9	17	1	39	20	161	1
0.16	1	2	17	1	50	20	161	1
0.161	1	6	17	2	91	20	161	0
0.161	1	13	17	2	94	20	161	0
0.161	1	11	17	2	58	20	161	1
0.161	1	10	17	2	63	20	161	1
0.162	1	3	17	3	96	20	161	0
0.162	1	14	17	3	1	20	161	0
0.162	1	8	17	3	71	20	161	1
0.162	1	4	17	3	78	20	161	1
0.163	1	15	17	4	12	20	161	0
0.163	1	5	17	4	20	20	161	0
0.163	1	12	17	4	82	20	161	1
0.163	1	1	17	4	87	20	161	1
0.164	1	7	17	5	29	20	161	0
0.164	1	9	17	5	39	20	161	0
0.164	1	6	17	5	91	20	161	1
0.164	1	13	17	5	94	20	161	1
0.165	1	2	17	6	50	20	161	0
0.165	1	11	17	6	58	20	161	0
0.165	1	3	17	6	96	20	161	1
0.165	1	14	17	6	1	20	161	1
0.166	1	10	17	7	63	20	161	0
0.166	1	8	17	7	71	20	161	0
