% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
150	1	4	78	0	20	161	0	1	0
150	2	7	29	0	20	161	0	1	1
150	2	5	20	0	20	161	0	1	1
151	1	1	87	0	20	161	0	1	0
151	1	12	82	0	20	161	0	1	0
151	2	9	39	0	20	161	0	1	1
151	2	2	50	0	20	161	0	1	1
152	1	6	91	0	20	161	0	1	0
152	1	13	94	0	20	161	0	1	0
152	2	11	58	0	20	161	0	1	1
152	2	10	63	0	20	161	0	1	1
153	1	3	96	0	20	161	0	1	0
153	1	14	1	0	20	161	0	1	0
153	2	4	78	0	20	161	0	1	1
153	2	8	71	0	20	161	0	1	1
154	1	5	20	0	20	161	0	1	0
154	1	15	12	0	20	161	0	1	0
154	2	1	87	0	20	161	0	1	1
154	2	12	82	0	20	161	0	1	1
155	1	7	29	0	20	161	0	1	0
155	1	9	39	0	20	161	0	1	0
155	2	13	94	0	20	161	0	1	1
155	2	6	91	0	20	161	0	1	1
156	1	2	50	0	20	161	0	1	0
156	1	11	58	0	20	161	0	1	0
156	2	14	1	0	20	161	0	1	1
156	2	3	96	0	20	161	0	1	1
157	1	10	63	0	20	161	0	1	0
157	1	8	71	0	20	161	0	1	0
157	2	15	12	0	20	161	0	1	1
157	2	5	20	0	20	161	0	1	1
158	1	12	82	0	20	161	0	1	0
158	1	4	78	0	20	161	0	1	0
158	2	7	29	0	20	161	0	1	1
158	2	9	39	0	20	161	0	1	1
159	1	6	91	0	20	161	0	1	0
159	1	1	87	0	20	161	0	1	0
159	2	11	58	0	20	161	0	1	1
159	2	2	50	0	20	161	0	1	1
160	1	3	96	0	20	161	0	1	0
160	1	13	94	0	20	161	0	1	0
160	2	10	63	0	20	161	0	1	1
160	2	8	71	0	20	161	0	1	1
161	1	15	12	0	20	161	0	1	0
161	1	14	1	0	20	161	0	1	0
161	2	12	82	0	20	161	0	1	1
161	2	4	78	0	20	161	0	1	1
162	1	7	29	0	20	161	0	1	0
162	1	5	20	0	20	161	0	1	0
162	2	1	87	0	20	161	0	1	1
